STATION,per90,num.years,total.results,total.possible.results,total.percent,total.crit.results,total.possible.crit.results,critical.percentage,,,,,,
USC00357391,104.1,10,3151,3650,0.86,806,920,0.88,,,,,,
USC00357641,72.3,10,3005,3650,0.82,630,920,0.68,,,,,,
USC00357675,92,10,3142,3650,0.86,761,920,0.83,,,,,,
USC00357809,89.2,10,3621,3650,0.99,919,920,1,,,,,,
USC00357817,96,10,3240,3650,0.89,812,920,0.88,,,,,,
USC00357823,93.2,10,3653,3650,1,920,920,1,,,,,,
USC00357857,96.1,10,3566,3650,0.98,899,920,0.98,,,,,,
USC00358029,92.6,9,2488,3285,0.76,588,828,0.71,,,,,,
USC00358095,92.3,10,3591,3650,0.98,889,920,0.97,,,,,,
USC00358173,99,10,3645,3650,1,913,920,0.99,,,,,,
USC00358246,94.2,10,3550,3650,0.97,883,920,0.96,,,,,,
USC00358407,100.3,10,2919,3650,0.8,642,920,0.7,,,,,,
USC00358466,93.3,10,3552,3650,0.97,895,920,0.97,,,,,,
USC00358494,78.4,9,3052,3285,0.93,815,828,0.98,,,,,,
USC00358498,77.3,10,3639,3650,1,919,920,1,,,,,,
USC00358536,97.1,10,3649,3650,1,918,920,1,,,,,,
USC00358726,79.2,4,314,1460,0.22,92,368,0.25,,,,,,
USC00358746,93.6,5,1038,1825,0.57,230,460,0.5,,,,,,
USC00358884,93.3,10,3608,3650,0.99,888,920,0.97,,,,,,
USC00358997,99,10,3322,3650,0.91,798,920,0.87,,,,,,
USC00359316,93.2,10,3650,3650,1,919,920,1,,,,,,
USC00359461,99.1,10,3641,3650,1,917,920,1,,,,,,
USC00359588,70.1,10,3615,3650,0.99,900,920,0.98,,,,,,
USR0000CKLA,93.1,10,3407,3650,0.93,828,920,0.9,,,,,,
USR0000OAGN,100.1,10,3637,3650,1,920,920,1,,,,,,
USR0000OALL,93,10,3525,3650,0.97,902,920,0.98,,,,,,
USR0000OANT,86,10,3573,3650,0.98,920,920,1,,,,,,
USR0000OBAD,90,10,3647,3650,1,914,920,0.99,,,,,,
USR0000OBAL,93,10,3647,3650,1,917,920,1,,,,,,
USR0000OBAS,97,10,3642,3650,1,915,920,0.99,,,,,,
USR0000OBKL,89.2,10,3648,3650,1,920,920,1,,,,,,
USR0000OBLA,94.1,10,3521,3650,0.96,908,920,0.99,,,,,,
USR0000OBLU,95.1,10,3651,3650,1,920,920,1,,,,,,
USR0000OBOC,93,10,3651,3650,1,920,920,1,,,,,,
USR0000OBOH,92.1,10,3337,3650,0.91,817,920,0.89,,,,,,
USR0000OBOU,93.3,10,3509,3650,0.96,920,920,1,,,,,,
USR0000OBRI,89,10,3403,3650,0.93,914,920,0.99,,,,,,
USR0000OBRO,96.1,10,3652,3650,1,920,920,1,,,,,,
USR0000OBRU,96,10,3424,3650,0.94,920,920,1,,,,,,
USR0000OBUE,101,10,3607,3650,0.99,920,920,1,,,,,,
USR0000OBUS,102.3,10,3641,3650,1,920,920,1,,,,,,
USR0000OCAB,96,10,3408,3650,0.93,895,920,0.97,,,,,,
USR0000OCAI,85.1,10,3517,3650,0.96,902,920,0.98,,,,,,
USR0000OCAL,90.2,10,3649,3650,1,920,920,1,,,,,,
USR0000OCAN,91.5,10,3481,3650,0.95,907,920,0.99,,,,,,
USR0000OCAS,95,10,3653,3650,1,920,920,1,,,,,,
USR0000OCHI,94.1,10,3464,3650,0.95,836,920,0.91,,,,,,
USR0000OCIN,92.1,10,3507,3650,0.96,920,920,1,,,,,,
USR0000OCOD,93.1,10,3642,3650,1,912,920,0.99,,,,,,
USR0000OCOL,96.2,10,3620,3650,0.99,920,920,1,,,,,,
USR0000OCRA,91.5,10,3619,3650,0.99,920,920,1,,,,,,
USR0000OCRO,92.1,10,3651,3650,1,920,920,1,,,,,,
USR0000ODUN,77.2,10,3650,3650,1,917,920,1,,,,,,
USR0000OEAG,94.2,10,3534,3650,0.97,912,920,0.99,,,,,,
USR0000OECK,99,8,2802,2920,0.96,730,736,0.99,,,,,,
USR0000OEDE,96.3,10,3484,3650,0.95,914,920,0.99,,,,,,
USR0000OEMI,97,10,3653,3650,1,920,920,1,,,,,,
USR0000OEVA,101.3,10,3651,3650,1,920,920,1,,,,,,
USR0000OFAL,89.1,10,3583,3650,0.98,919,920,1,,,,,,
USR0000OFIE,94,10,3578,3650,0.98,913,920,0.99,,,,,,
USR0000OFIN,97.1,10,3611,3650,0.99,920,920,1,,,,,,
USR0000OFIS,98.1,10,3584,3650,0.98,920,920,1,,,,,,
USR0000OFLA,96,10,3486,3650,0.96,845,920,0.92,,,,,,
USR0000OFOR,96.2,10,3651,3650,1,920,920,1,,,,,,
USR0000OFOS,96.2,10,3653,3650,1,920,920,1,,,,,,
USR0000OGAD,99.1,10,3588,3650,0.98,920,920,1,,,,,,
USR0000OGER,95,10,3648,3650,1,920,920,1,,,,,,
